model,redshift,sub_id,logMstar,resid,bbarolo_rc
vSIDM,2.0,12684,10.955,6.5574,0
vSIDM,2.0,27876,10.216,6.5568,0
SIDM1,4.0,6986,9.913,6.5567,0
vSIDM,3.0,12557,9.963,6.5509,0
SIDM1,4.0,4358,10.251,6.5480,0
CDM,2.0,32974,9.978,6.5393,0
CDM,2.0,21340,9.975,6.5329,0
SIDM1,2.0,29024,10.046,6.5325,0
CDM,3.0,12023,9.938,6.5299,0
SIDM1,3.0,16421,9.831,6.5187,0
CDM,3.0,12865,10.214,6.5146,0
CDM,3.0,9498,10.519,6.5127,0
SIDM1,1.0,58787,10.045,6.5125,0
SIDM1,2.0,22802,10.462,6.5083,0
SIDM1,2.0,33241,10.176,6.5040,0
CDM,2.0,13889,10.690,6.4962,0
SIDM1,2.0,19736,10.554,6.4891,0
vSIDM,3.0,9353,10.299,6.4882,0
CDM,1.0,53290,10.387,6.4848,0
SIDM1,1.0,40159,10.683,6.4828,0
SIDM1,1.0,51770,10.356,6.4551,0
SIDM1,2.0,13663,10.971,6.4429,0
vSIDM,3.0,9688,10.019,6.4322,0
vSIDM,0.5,55126,10.993,6.4298,0
vSIDM,2.0,19778,10.405,6.4130,0
vSIDM,3.0,14402,9.795,6.3861,0
vSIDM,3.0,12065,10.143,6.3807,0
SIDM1,3.0,15352,9.934,6.3723,0
SIDM1,3.0,6255,10.437,6.3699,0
CDM,3.0,17490,9.811,6.3598,0
SIDM1,5.0,1176,10.600,6.3536,0
CDM,3.0,20294,9.847,6.3488,0
CDM,4.0,5968,10.187,6.3462,0
SIDM1,3.0,12933,10.282,6.3296,0
SIDM1,3.0,16931,9.960,6.3214,0
vSIDM,2.0,20915,10.497,6.3211,0
SIDM1,2.0,24599,10.243,6.3176,0
CDM,2.0,19539,10.567,6.3143,0
vSIDM,2.0,8476,11.034,6.3103,0
vSIDM,1.0,46350,10.632,6.3055,0
SIDM1,2.0,42946,9.752,6.2960,0
vSIDM,2.0,24043,9.957,6.2913,0
SIDM1,3.0,14337,10.040,6.2722,0
vSIDM,2.0,28819,10.082,6.2646,0
SIDM1,2.0,34769,9.908,6.2563,0
CDM,2.0,21527,10.707,6.2535,0
SIDM1,2.0,21547,10.459,6.2521,0
CDM,2.0,5789,11.233,6.2441,0
CDM,3.0,7706,10.446,6.2393,0
SIDM1,2.0,13532,10.659,6.2382,0
CDM,2.0,23028,10.450,6.2364,0
vSIDM,2.0,16023,10.463,6.2338,0
CDM,2.0,14097,10.982,6.2329,0
SIDM1,3.0,11500,9.848,6.2301,0
vSIDM,3.0,8774,10.016,6.2200,0
SIDM1,1.0,53650,10.351,6.2145,0
vSIDM,4.0,7150,9.776,6.2134,0
vSIDM,2.0,30712,9.846,6.2129,0
CDM,2.0,24279,10.298,6.2067,0
CDM,2.0,24072,10.278,6.2060,0
SIDM1,3.0,12637,9.984,6.2038,0
SIDM1,3.0,13827,10.278,6.1973,0
